#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24023132;2026-02-17 00:00:00;00;MAD;51;water;152;0;0;0;2026-02-17 07:15:00;0.138;0.000;0.138;2026-01-01 00:00:00;0.138;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2025-09-30 00:00:00;0.128;2025-10-31 00:00:00;0.137;2025-11-30 00:00:00;0.138;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;788;24890
0016044252;;24023132;2026-02-18 00:00:00;00;MAD;51;water;153;0;0;0;2026-02-18 07:14:00;0.138;0.000;0.138;2026-01-01 00:00:00;0.138;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2025-09-30 00:00:00;0.128;2025-10-31 00:00:00;0.137;2025-11-30 00:00:00;0.138;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;788;24890
0016044252;;24023132;2026-02-18 15:00:00;00;MAD;51;water;154;0;0;0;2026-02-18 22:14:00;0.138;0.000;0.138;2026-01-01 00:00:00;0.138;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2025-09-30 00:00:00;0.128;2025-10-31 00:00:00;0.137;2025-11-30 00:00:00;0.138;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;788;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24024801;2026-02-17 00:00:00;00;MAD;51;water;148;0;0;0;2026-02-17 07:16:00;0.175;0.000;0.175;2026-01-01 00:00:00;0.175;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.097;2025-09-30 00:00:00;0.103;2025-10-31 00:00:00;0.116;2025-11-30 00:00:00;0.175;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;772;24890
0016044252;;24024801;2026-02-18 00:00:00;00;MAD;51;water;149;0;0;0;2026-02-18 07:16:00;0.175;0.000;0.175;2026-01-01 00:00:00;0.175;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.097;2025-09-30 00:00:00;0.103;2025-10-31 00:00:00;0.116;2025-11-30 00:00:00;0.175;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;772;24890
0016044252;;24024801;2026-02-18 15:00:00;00;MAD;51;water;150;0;0;0;2026-02-18 22:16:00;0.175;0.000;0.175;2026-01-01 00:00:00;0.175;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.097;2025-09-30 00:00:00;0.103;2025-10-31 00:00:00;0.116;2025-11-30 00:00:00;0.175;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;772;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24024802;2026-02-17 00:00:00;00;MAD;51;water;148;0;0;0;2026-02-17 07:11:00;4.316;0.000;0.198;2026-01-01 00:00:00;1.287;2026-01-31 00:00:00;0.001;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.115;2025-09-30 00:00:00;0.157;2025-10-31 00:00:00;0.158;2025-11-30 00:00:00;0.198;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
0016044252;;24024802;2026-02-18 00:00:00;00;MAD;51;water;149;0;0;0;2026-02-18 07:11:00;4.630;0.000;0.198;2026-01-01 00:00:00;1.287;2026-01-31 00:00:00;0.001;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.115;2025-09-30 00:00:00;0.157;2025-10-31 00:00:00;0.158;2025-11-30 00:00:00;0.198;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
